iter	Passed	Remaining
434	1441	1871
435	1443	1867
436	1447	1865
437	1449	1860
438	1452	1855
439	1454	1850
440	1457	1847
441	1463	1847
442	1465	1843
443	1468	1838
444	1471	1835
445	1475	1832
446	1480	1831
447	1483	1828
448	1486	1824
449	1490	1821
450	1496	1821
451	1499	1817
452	1503	1815
453	1508	1814
454	1512	1812
455	1517	1809
456	1520	1806
457	1526	1806
458	1530	1803
459	1533	1800
460	1536	1796
461	1542	1796
462	1546	1793
463	1549	1790
464	1553	1787
465	1559	1786
466	1562	1783
467	1565	1779
468	1569	1776
469	1573	1773
470	1576	1770
471	1579	1766
472	1582	1763
473	1586	1760
474	1591	1759
475	1594	1755
476	1597	1751
477	1601	1749
478	1605	1746
479	1608	1742
480	1611	1739
481	1615	1735
482	1619	1733
483	1623	1730
484	1626	1726
485	1629	1723
486	1634	1721
487	1638	1718
488	1641	1715
489	1644	1711
490	1649	1709
491	1654	1708
492	1658	1705
493	1661	1701
494	1666	1700
495	1670	1697
496	1674	1694
497	1678	1692
498	1683	1690
499	1686	1686
500	1689	1682
501	1692	1679
502	1698	1678
503	1702	1675
504	1705	1671
505	1712	1671
506	1716	1668
507	1719	1665
508	1723	1662
509	1759	1690
510	1763	1687
511	1771	1688
512	1777	1687
513	1781	1684
514	1784	1680
515	1788	1677
516	1793	1675
517	1796	1671
518	1801	1669
519	1804	1665
520	1809	1663
521	1812	1659
522	1815	1655
523	1818	1651
524	1822	1649
525	1826	1646
526	1829	1641
527	1832	1638
528	1836	1634
529	1842	1633
530	1845	1630
531	1849	1626
532	1853	1623
533	1857	1621
534	1860	1617
535	1863	1613
536	1866	1609
537	1871	1607
538	1874	1603
539	1878	1600
540	1881	1596
541	1888	1595
542	1891	1591
543	1894	1588
544	1900	1586
545	1904	1583
546	1907	1580
547	1911	1576
548	1917	1575
549	1920	1571
550	1924	1568
551	1930	1566
552	1936	1565
553	1939	1561
554	1943	1557
555	1950	1557
556	1953	1553
557	1957	1550
558	1962	1548
559	1965	1544
560	1968	1540
561	1971	1536
562	1975	1533
563	1980	1530
564	1983	1526
565	1986	1523
566	1990	1520
567	1994	1516
568	1997	1512
569	2000	1509
570	2003	1505
571	2007	1502
572	2011	1499
573	2014	1495
574	2018	1491
575	2021	1488
576	2024	1484
577	2028	1480
578	2031	1477
579	2034	1473
580	2039	1470
581	2042	1466
582	2045	1463
583	2048	1459
584	2051	1455
585	2056	1452
586	2059	1448
587	2062	1445
588	2065	1441
589	2069	1438
590	2072	1434
591	2075	1430
592	2078	1426
593	2081	1422
594	2085	1419
595	2088	1415
596	2091	1412
597	2095	1408
598	2098	1405
599	2102	1401
600	2106	1398
601	2110	1395
602	2114	1392
603	2118	1388
604	2124	1386
605	2130	1385
606	2135	1382
607	2138	1378
608	2142	1375
609	2145	1371
610	2149	1368
611	2154	1365
612	2157	1362
613	2161	1358
614	2164	1355
615	2167	1351
616	2171	1347
617	2174	1344
618	2177	1340
619	2180	1336
