iter	MultiClass
0	1.016153093
1	0.9523773951
2	0.8944808957
3	0.8453777621
4	0.8029076394
5	0.7652275516
6	0.7325721495
7	0.7032581065
8	0.6784298436
9	0.6550096171
10	0.6338475132
11	0.6137057288
12	0.5969069734
13	0.5800949454
14	0.5672319636
15	0.5541915275
16	0.5417990483
17	0.5303181456
18	0.5211045904
19	0.512097698
20	0.5053632533
21	0.4980535677
22	0.4908865667
23	0.4828620393
24	0.4764476045
25	0.4700591587
26	0.4644511578
27	0.4587055209
28	0.4535280998
29	0.4494889842
30	0.4458021792
31	0.4421682777
32	0.437196698
33	0.4338399651
34	0.4299965825
35	0.4257681451
36	0.4219370729
37	0.4192076784
38	0.415790159
39	0.4117423081
40	0.4083555012
41	0.4052298189
42	0.4031017408
43	0.4003291911
44	0.3981238802
45	0.39607001
46	0.394586772
47	0.392724405
48	0.3909549283
49	0.3889581741
50	0.3867899137
51	0.3850903165
52	0.383653065
53	0.3818847546
54	0.3806329344
55	0.3790545193
56	0.3773598132
57	0.3758444184
58	0.3741523644
59	0.3714032738
60	0.3702536055
61	0.368832544
62	0.3675477046
63	0.3656961393
64	0.3640704121
65	0.3624010792
66	0.3604935572
67	0.3597395609
68	0.3586430713
69	0.3578265555
70	0.3560772764
71	0.3539670627
72	0.3530150107
73	0.35086113
74	0.3491111252
75	0.3482218492
76	0.3461321826
77	0.3454350378
78	0.3445366743
79	0.3435301278
80	0.3431132526
81	0.3416886796
82	0.3403948611
83	0.3386005916
84	0.3370879031
85	0.3355560904
86	0.3337213548
87	0.3328607476
88	0.3321327411
89	0.3310282625
90	0.3294815642
91	0.3284269126
92	0.3278728552
93	0.3270341643
94	0.3260866317
95	0.3247764441
96	0.3237804566
97	0.3230256739
98	0.3216277403
99	0.3204448147
100	0.3194242629
101	0.3184377531
102	0.3175273478
103	0.3160421042
104	0.3149701567
105	0.3142905651
106	0.3134363319
107	0.312157952
108	0.3111153887
109	0.3105861688
110	0.3092650082
111	0.3083235081
112	0.3069098061
113	0.306210477
114	0.3055839715
115	0.3051828402
116	0.3037539642
117	0.303128259
118	0.3025686319
119	0.301632939
120	0.3007482221
121	0.299627443
122	0.298712307
123	0.2981539462
124	0.2975207071
125	0.2971779404
126	0.2968186775
127	0.2960896329
128	0.2947299394
129	0.2939566246
130	0.2935001566
131	0.2929906034
132	0.2923217816
133	0.2906813574
134	0.2895643598
135	0.2873535843
136	0.2864618825
137	0.2856408258
138	0.2846241376
139	0.2840284388
140	0.282956682
141	0.2820913051
142	0.2813842368
143	0.2810399084
144	0.2793145427
145	0.2784779214
146	0.2779756031
147	0.2771527621
148	0.2760710736
149	0.2754596688
150	0.2746221272
151	0.2743941028
152	0.2736314676
153	0.2730580506
154	0.2719519165
155	0.2709987817
156	0.2703294592
157	0.2695610987
158	0.2687945741
159	0.2674479044
160	0.2663960821
161	0.2661034186
162	0.2653401139
163	0.2648273385
164	0.2643557232
165	0.2636094172
166	0.2633016091
167	0.2628724906
168	0.2616998126
169	0.2608824096
170	0.2599424858
171	0.2593590742
172	0.2591799467
173	0.2575996095
174	0.2567565101
175	0.2558792015
176	0.2553393429
177	0.2541562024
178	0.2533588262
179	0.2528084323
180	0.2518537594
181	0.2510401196
182	0.2500403794
183	0.2490764535
184	0.2483577467
185	0.2474116385
186	0.2469038436
187	0.2460491106
188	0.2458347812
189	0.2454682255
190	0.2441753488
191	0.2435225285
192	0.2427755647
193	0.2417560437
194	0.2408962711
195	0.2403300059
196	0.2401984042
197	0.2395540721
198	0.2393738867
199	0.2383202897
200	0.2378548862
201	0.2374456226
202	0.23683363
203	0.2363752999
204	0.2353213484
205	0.2342720149
206	0.2337752825
207	0.2327956598
208	0.2316172951
209	0.2312331643
210	0.2306886434
211	0.2298817647
212	0.2286155693
213	0.2277584392
214	0.2273535315
215	0.2262859504
216	0.2256441208
217	0.2253793693
218	0.2247772267
219	0.2240358401
220	0.2234839175
221	0.2225620218
222	0.2220234792
223	0.2210733029
224	0.22102229
225	0.2209086322
226	0.2207795065
227	0.220332225
228	0.2199863696
229	0.2196186798
230	0.2185479072
231	0.217583262
232	0.2168523761
233	0.2160753436
234	0.2155040175
235	0.215301912
236	0.2147683263
237	0.2146507635
238	0.2139362181
239	0.2133251142
240	0.2125841255
241	0.2119160904
242	0.2117300313
243	0.2112860911
244	0.2109638299
245	0.210847799
246	0.2101150033
247	0.2092221395
248	0.2088303066
249	0.2080980105
250	0.207393337
251	0.2067047831
252	0.2056141634
253	0.2050819845
254	0.2047999265
255	0.2042354711
256	0.2030677078
257	0.2028409841
258	0.2021984972
259	0.2018967118
260	0.2011729816
261	0.20088995
262	0.2004090209
263	0.2000749247
264	0.1997013505
265	0.1992889434
266	0.1990639629
267	0.1981991051
268	0.1977812009
269	0.1972649872
270	0.1969457995
271	0.1963947313
272	0.1960029219
273	0.1956367002
274	0.1949666834
275	0.1945794832
276	0.1938284795
277	0.1933461999
278	0.1924595273
279	0.1913488067
280	0.1906925623
281	0.1899434584
282	0.1892749919
283	0.1884991009
284	0.1882498574
285	0.1877206812
286	0.1871938688
287	0.1867257432
288	0.1862143222
289	0.1860476243
290	0.1858575223
291	0.185562624
292	0.1847756858
